X,Y,Unit,Higher for,Army,Status,Date added,Date updat,Location,Latitude,Longitude,Unit level,Type of un,Simplified,Establishe,Lower esti,Higher est,Unit count,Total esti,Total - lo,Total - hi,Notes
34.4997274,45.3453029,"Two motor rifle battalions (and a tank company) from the 136th MRB, 58th Combined Arms Army. (added 23 December);",136th Motorised Rifle Brigade,,New,,,Crimea,45.345302900000000,34.499727399999998,Battalion,Armoured vehicles,Other,,"250","1000","2","1250","500","2000",
34.4997274,45.3453029,There are at least additional three/four BTGs scattered across the peninsula.,,,New,,,Crimea,45.345302900000000,34.499727399999998,BTG,,Other,,"700","900","3","2400","2100","2700",
36.4532213,51.7885266,"An artillery battalion from the 9th Artillery Regiment, 6th Combined Arms Army (probably en route)",9th Artillery Regiment,6th Combined Arms Army,New,06/02/2022,,Postoyalye Dvory,51.788526599999997,36.453221300000003,Battalion,Artillery,Other,Probably en route,,,,,,,
36.4532213,51.7885266,"A BTG from the 138th Motor Rifle Brigade, 6th Combined Arms Army (added on 11 December);",138th Motor Rifle Brigade,6th Combined Arms Army,New,11/12/2021,,Postoyalye Dvory,51.788526599999997,36.453221300000003,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900",
36.4532213,51.7885266,"A BTG  from the 25th Motor Rifle Brigade, 6th Combined Arms Army (added on 14 December).",25th Motor Rifle Brigade,6th Combined Arms Army,New,14/12/2021,,Postoyalye Dvory,51.788526599999997,36.453221300000003,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900",
32.08252,52.73968,"One BTG from the 90th Tank Division (added 30 December);",90th Tank Division,,New,,,Rozhny,52.739680000000000,32.082520000000002,BTG,Tanks,Tanks,,"700","900","1","800","700","900",
32.2005574,52.3763189,Two BTGs from the 90th Tank Division.,90th Tank Division,,New,,,Klimovo,52.376318900000001,32.200557400000001,BTG,Tanks,Tanks,,"700","900","2","1600","1400","1800",
39.4480479,45.4623937,Two BTGs from the 177th Naval Infantry Regiment,177th Naval Infantry Regiment,,New,,,Krasnodar Krai,45.462393700000000,39.448047899999999,BTG,Naval infantry,Other,,"700","900","2","1600","1400","1800",
0,0,14th Spetsnaz Brigade – ?,,,New,,,?,,,Brigade,Special operations,Other,,"2000","8000","1","5000","2000","8000","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
0,0,45th Special Purpose (Spetsnaz) Brigade,,,New,07/02/2022,,?,,,Brigade,Special operations,Other,,,,,,,,
0,0,A BTG from the 114th Motor Rifle Regiment – ?,114th Motor Rifle Regiment,,New,,,?,,,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
0,0,A BTG from the 394th Motor Rifle Regiment,394th Motor Rifle Regiment,,New,07/02/2022,,?,,,BTG,Armoured vehicles,Other,,,,,,,,
0,0,14th Engineering Brigade – ?,,,New,,,?,,,Brigade,Engineering,Other,,"2000","8000","1","5000","2000","8000","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
23.6851851,52.093751,54th Command and Control Brigade – Brest (Belarus),,,New,,,Brest,52.093750999999997,23.685185100000002,Brigade,Command and control,Other,,"2000","8000","1","5000","2000","8000","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
0,0,A BTG from the 57th Motor Rifle Brigade,57th Motor Rifle Brigade,,New,,,?,,,BTG,Armoured vehicles,Other,,,,,,,,
23.6851851,52.093751,A BTG from the 36th Motor Rifle Brigade – Brest (Belarus),36th Motor Rifle Brigade,,New,,,Brest,52.093750999999997,23.685185100000002,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
30.3916,52.3617,A BTG from the 37th Motor Rifle Brigade – ?,37th Motor Rifle Brigade,,New,,07/02/2022,Rechitsa,52.361699999999999,30.391600000000000,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
30.3916,52.3617,Two BTGs from the 5th Tank Brigade – Rechitsa (Belarus),5th Tank Brigade,,New,,,Rechitsa,52.361699999999999,30.391600000000000,BTG,Tanks,Tanks,,"700","900","2","1600","1400","1800","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
29.1543374,51.8107943,A BTG from the 38th Motor Rifle Brigade – Yelsk (Belarus),38th Motor Rifle Brigade,,New,,,Yelsk,51.810794299999998,29.154337399999999,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
29.21949,52.036659,A BTG from the 64th Motor Rifle Brigade – Mazyr (Belarus),64th Motor Rifle Brigade,,New,,07/02/2022,Mazyr,52.036659000000000,29.219490000000000,BTG,Armoured vehicles,Other,,"700","900","1","800","700","900","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
26.0166626,53.1320648,Two BTGs from the 155th Naval Infantry Brigade – Baranovichi (Belarus),155th Naval Infantry Brigade,,New,,,Baranovichi,53.132064800000002,26.016662600000000,BTG,Naval infantry,Other,,"700","900","2","1600","1400","1800","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
28.9646,52.3079249,A BTG from the 11th Air Assault Brigade – Gomel area,11th Air Assault Brigade,,New,,07/02/2022,Gomel area,52.307924900000003,28.964600000000001,BTG,Air assault,Air,,"500","750","1","625","500","750","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
0,0,A BTG from the 83rd Air Assault Brigade – ?,83rd Air Assault Brigade,,New,,,?,,,BTG,Air assault,Air,,"500","750","1","625","500","750","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
29.21949,52.036659,A BTG from the 69th Covering (border protection) Brigade,69th Covering Brigade,,New,,07/02/2022,Mazyr,52.036659000000000,29.219490000000000,BTG,Border protection,Other,,"700","900","1","800","700","900","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
0,0,Elements of the 101st Logistics Brigade,101st Logistics Brigade,,New,,,?,,,Elements,Logistics,Other,,,,,,,,
30.3916,52.3617,Elements of the 165th Artillery Brigade – Rechitsa,165th Artillery Brigade,,New,07/02/2022,,Rechitsa,52.361699999999999,30.391600000000000,Elements,Artillery,Other,,,,,,,,
29.21949,52.036659,Elements of the 305th Artillery Brigade – Mazyr area,305th Artillery Brigade,,New,07/02/2022,,Mazyr,52.036659000000000,29.219490000000000,Elements,Artillery,Other,,,,,,,,
0,0,Elements of the 338th Reactive Artillery Brigade,338th Reactive Artillery Brigade,,New,,,?,,,Brigade,Artillery,Other,,"2000","8000","1","5000","2000","8000","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
0,0,Elements of the 200th Artillery Brigade,200th Artillery Brigade,,New,,,?,,,Elements,Artillery,Other,,,,,,,,
28.6382068,53.3084631,An Iskander battalion from the 107th Missile Brigade – Asipovichy (Belarus),107th Missile Brigade,,New,,07/02/2022,Asipovichy,53.308463099999997,28.638206799999999,Battalion,Missiles,Other,,"2000","8000","1","5000","2000","8000","Since the first week of January 2022, Russia has been moving its forces from the Eastern Military District to Western Russia and Belarus. The size of this deployment is significant, between 7-10 perhaps as many as 15-20 BTGs. This translates to around 50"
28.6382068,53.3084631,An Iskander battalion from the 103rd Missile Brigade – Asipovichy (Belarus),103rd Missile Brigad,,New,,07/02/2022,Asipovichy,53.308463099999997,28.638206799999999,Battalion,Missiles,Other,,,,,,,,
26.0166626,53.1320648,"Su-35s, 23rd Fighter Aviation Regiment – Baranovichi, Belarus",23rd Fighter Aviation Regiment,,New,,07/02/2022,Baranovichi,53.132064800000002,26.016662600000000,Fighter jets,Air assault,Air,,,,,,,,
26.7906719,52.2554891,15 Su-25s from the 18th Attack Aviation Regiment – Luninets,,,New,,07/02/2022,Luninets,52.255489099999998,26.790671900000000,Fighter jets,Air assault,Air,,,,,,,,
0,0,"A BTG (maybe two) from the 234th Air Assault Regiment, 76th Air Assault Division",234th Air Assault Regiment,,New,,,?,,,BTG,Air assault,Air,,,,"1",,,,
0,0,"124th Tank Battalion, 76th Air Assault Division – ?",76th Air Assault Division,,New,,,?,,,Battalion,Tanks,Tanks,,,,,,,,
23.6851851,52.093751,"A BTG (maybe two) from the 217th Airborne Regiment, 98th Airborne Division – Brest",,,New,,,Brest,52.093750999999997,23.685185100000002,BTG,Air assault,Air,,"500","750","1","625","500","750",
0,0,A BTG (maybe two) from the 106th Guards Airborne Division,,,New,07/02/2022,,?,,,BTG,Air assault,Air,,,,,,,,
26.7906719,52.2554891,An S-400 battalion (at least 5 TELs) -Luninets,,,New,07/02/2022,,Luninets,52.255489099999998,26.790671900000000,Battalion,Missiles,Other,,,,,,,,
27.3170126,54.0223887,An S-400 battalion – Minsk area,,,New,07/02/2022,,Minsk area,54.022388700000000,27.317012600000002,Battalion,Missiles,Other,,,,,,,,
0,0,Two Panstir-S1 battalions – Luninets and Minsk?,,,New,07/02/2022,,?,,,Battalion,Missiles,Other,,,,,,,,
